Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg]
11.154,-0.0,0.025,-0.006,-0.0,0.003,31.241,-0.213,-0.0,0.0,0.0,0.0,,,,,,
11.253,-0.0,-0.045,-0.005,-0.0,-0.006,31.225,-0.378,-0.0,0.0,0.0,0.0,,,,,,
11.351,-0.0,-0.015,-0.006,-0.0,-0.002,31.221,-0.321,-0.0,0.0,0.0,0.0,,,,,,
11.449,-0.0,-0.012,-0.005,-0.0,-0.002,31.198,-0.031,-0.0,0.0,0.0,0.0,,,,,,
11.569,-0.0,0.02,-0.005,-0.0,0.003,31.209,-0.224,-0.0,0.0,0.0,0.0,,,,,,
11.683,-0.0,-0.006,0.0,-0.0,-0.001,31.195,-0.021,-0.0,0.0,0.0,0.0,,,,,,
11.799,-0.0,0.037,-0.007,-0.0,0.005,31.221,-0.351,-0.0,0.0,0.0,0.0,,,,,,
11.91,-0.0,-0.017,-0.007,-0.0,-0.002,31.195,-0.129,-0.0,0.0,0.0,0.0,,,,,,
12.029,-0.0,-0.002,0.003,-0.0,-0.0,31.214,-0.286,-0.0,0.0,0.0,0.0,,,,,,
12.144,-0.0,-0.051,-0.016,-0.0,-0.006,31.225,0.033,-0.0,0.0,0.0,0.0,,,,,,
12.26,-0.0,0.012,-0.003,-0.0,0.002,31.207,-0.12,-0.0,0.0,0.0,0.0,,,,,,
12.367,-0.0,-0.004,-0.0,-0.0,-0.001,31.207,-0.09,-0.0,0.0,0.0,0.0,,,,,,
12.475,-0.0,0.014,-0.008,-0.0,0.002,31.189,-0.494,-0.0,0.0,0.0,0.0,,,,,,
12.584,-0.0,0.002,-0.004,-0.0,0.0,31.218,-0.094,-0.0,0.0,0.0,0.0,,,,,,
12.7,-0.0,0.006,-0.006,-0.0,0.001,31.198,-0.459,-0.0,0.0,0.0,0.0,,,,,,
12.809,-0.0,-0.002,-0.002,-0.0,-0.0,31.218,-0.026,-0.0,0.0,0.0,0.0,,,,,,
12.918,-0.0,0.013,-0.007,-0.0,0.002,31.202,-0.033,-0.0,0.0,0.0,0.0,,,,,,
13.032,-0.0,-0.001,-0.003,-0.0,-0.0,31.198,-0.234,48.599,0.0,0.0,0.708,,,,,,
13.139,-0.0,-0.023,-0.005,-0.0,-0.003,31.195,-0.283,48.599,0.0,0.0,1.0,,,,,,
13.251,0.182,4.521,-0.271,0.023,0.575,31.049,-13.345,48.599,0.0,0.0,1.0,,,,,,
13.359,0.978,7.944,-0.225,0.124,1.011,30.976,-9.848,48.599,0.0,0.0,1.0,,,,,,
13.471,1.912,9.047,0.055,0.243,1.151,31.166,2.21,48.599,0.0,0.0,1.0,,,,,,
13.58,2.811,7.913,-0.004,0.358,1.007,31.179,-0.32,48.599,0.0,0.0,1.0,,,,,,
13.691,3.645,7.496,-0.08,0.464,0.954,31.157,-3.982,48.599,0.0,0.0,1.0,,,,,,
13.799,4.524,7.808,-0.069,0.576,0.993,31.186,-2.723,48.599,0.0,0.0,1.0,,,,,,
13.906,5.373,7.741,-0.07,0.684,0.985,31.159,-1.329,48.599,0.0,0.0,1.0,,,,,,
14.013,6.209,7.911,-0.054,0.79,1.007,31.17,-1.893,48.599,0.0,0.0,1.0,,,,,,
14.122,7.05,7.664,-0.055,0.897,0.975,31.163,-2.535,48.599,0.0,0.0,1.0,,,,,,
14.228,7.904,8.158,-0.009,1.006,1.038,31.184,-0.84,48.599,0.0,0.0,1.0,,,,,,
14.332,8.744,7.834,-0.044,1.113,0.997,31.136,-2.098,48.599,0.0,0.0,1.0,,,,,,
14.438,9.549,7.559,-0.079,1.215,0.962,31.159,-2.857,48.599,0.0,0.0,1.0,,,,,,
14.55,10.381,7.882,-0.037,1.321,1.003,31.154,-2.739,48.599,0.0,0.0,1.0,,,,,,
14.657,11.258,7.654,-0.063,1.432,0.974,31.145,-1.885,48.599,0.0,0.0,1.0,,,,,,
14.764,12.105,7.716,-0.048,1.54,0.982,31.166,-2.594,48.599,0.0,0.0,1.0,,,,,,
14.868,12.938,8.296,-0.008,1.646,1.056,31.159,-0.247,48.599,0.0,0.0,1.0,,,,,,
14.968,13.746,7.797,-0.046,1.749,0.992,31.138,-1.605,48.599,0.0,0.0,1.0,,,,,,
