run_time (s),angular_position (turns),angular_velocity (turns/s),torque (Nm),linear_position (m),linear_speed (m/s)
0.008954286575317383,0.00014090538024902344,-0.006321699824184179,0.003293309360742569,2.213336537208042e-05,-0.0009930102862928452
0.10896682739257812,6.148219108581543e-05,0.04731316864490509,-0.005668193101882935,9.657599992090082e-06,0.00743193515164444
0.20897197723388672,8.766353130340576e-05,-0.013239573687314987,0.0019727088510990143,1.377015529652592e-05,-0.002079667371636475
0.30997419357299805,6.416440010070801e-05,-0.011268902570009232,-9.883701568469405e-05,1.0078920398919024e-05,-0.001770115076398007
0.40998291969299316,-6.303191184997559e-06,-0.031387340277433395,0.00568498857319355,-9.901029560480136e-07,-0.004930311881565389
0.5099985599517822,-4.6133995056152344e-05,0.008903545327484608,0.006661082152277231,-7.246710997457803e-06,0.0013985656295864687
0.6099975109100342,-1.8730759620666504e-05,-0.016860565170645714,-0.005585695616900921,-2.942220841022112e-06,-0.0026484513837736257
0.7100591659545898,-5.303323268890381e-05,-0.017683852463960648,0.0013751289807260036,-8.330440710578914e-06,-0.0027777730493972266
0.8100643157958984,-1.4528632164001465e-05,-0.029906529933214188,-0.0015465309843420982,-2.2821522036567693e-06,-0.004697706736627447
0.9100689888000488,8.03917646408081e-05,0.03862389549612999,-0.0004677623510360718,1.2627908860234124e-05,0.006067027317183094
1.0100774765014648,-0.0002209395170211792,0.018440255895256996,0.0006590206176042557,-3.470509817807068e-05,0.002896588622542763
1.1100826263427734,8.52346420288086e-05,0.013094466179609299,-0.0007405648939311504,1.3388626261453047e-05,0.002056873937627029
1.2100815773010254,4.0337443351745605e-05,0.03505317494273186,0.0025649156887084246,6.336190784921922e-06,0.005506139844254212
1.3100872039794922,8.751451969146729e-05,0.0009444255847483873,-0.0020966199226677418,1.3746748607257645e-05,0.0001483500239453889
1.4100940227508545,6.662309169769287e-05,-0.020783336833119392,-0.012452921830117702,1.0465130771845554e-05,-0.003264638915600502
1.5100913047790527,-6.520748138427734e-05,-0.04868762195110321,0.0013716062530875206,-1.0242767223796946e-05,-0.0076478337721171494
1.610090970993042,7.814168930053711e-05,-0.018984008580446243,-0.001846184954047203,1.2274467852283178e-05,-0.002982001094600776
1.710106372833252,9.903311729431152e-05,-0.023920029401779175,-0.0006953729316592216,1.555608568769527e-05,-0.0037573494321140656
1.8101027011871338,-6.332993507385254e-06,0.00831491220742464,0.0017077575903385878,-9.947842939016686e-07,0.0013061033553044671
1.910102367401123,9.882450103759766e-05,-0.011628424748778343,-0.0002928338944911957,1.5523316322719686e-05,-0.0018265886881791888
2.010104179382324,-2.5928020477294922e-05,0.011583855375647545,0.0002908967435359955,-4.072763932679773e-06,0.0018195877474190482
2.111111879348755,-0.00016549229621887207,0.028902731835842133,-0.0007777019636705518,-2.599546910134572e-05,0.004540030500207875
2.211122751235962,0.00012595951557159424,-0.04335487261414528,-0.003289730753749609,1.9785674438472482e-05,-0.006810167465096007
2.311131715774536,-0.00011211633682250977,0.015916356816887856,-0.007339457981288433,-1.7611193005449775e-05,0.0025001354823924356
2.4111361503601074,9.870529174804688e-05,0.024147382006049156,-0.0039024553261697292,1.5504590971305064e-05,0.0037930618956815198
2.511143922805786,0.00023940205574035645,0.03645017370581627,-0.0016039690235629678,3.7605186978409904e-05,0.005725579896813212
2.6111509799957275,0.0001081228256225586,0.004639919381588697,-0.00683354027569294,1.698389373306002e-05,0.0007288368321223974
2.71120285987854,0.00012157857418060303,-0.0009908583015203476,-0.004351651296019554,1.909751777398521e-05,-0.0001556436580402392
2.8111751079559326,7.528066635131836e-05,0.005316059570759535,-0.0025016702711582184,1.1825059418332304e-05,0.0008350446846771932
2.9111857414245605,-2.4080276489257812e-05,-0.035788796842098236,-0.0001807529479265213,-3.782520985753168e-06,-0.005621691061997671
3.01118540763855,-5.5730342864990234e-06,0.03191462159156799,-0.00030138157308101654,-8.754101786334684e-07,0.005013137036708411
3.111192464828491,0.16015928983688354,3.4100089073181152,0.054675713181495667,0.02515776241778559,0.5356429465953174
3.2121968269348145,0.7134712934494019,6.713306427001953,-0.0026493468321859837,0.11207180870239242,1.054523707618324
3.3122682571411133,1.3832182884216309,6.554482936859131,0.017479902133345604,0.21727542066082217,1.029575772125815
3.4122719764709473,2.055413007736206,6.6098432540893555,0.012003997340798378,0.32286352025984827,1.0382717504213586
3.5123093128204346,2.7238597869873047,6.797418594360352,0.0028000595048069954,0.4278628948103988,1.0677360159708569
3.612335205078125,3.392444610595703,6.578158855438232,0.018271062523126602,0.5328839533178874,1.0332947767195697
3.71234393119812,4.058577060699463,6.6895904541015625,-0.0037197433412075043,0.6375197938960744,1.0507984113064939
3.8123366832733154,4.726612567901611,6.757084846496582,-0.0016387138748541474,0.7424545659842445,1.061400405671829
3.9123435020446777,5.39442253112793,6.620970249176025,0.006214097607880831,0.8473539097075382,1.0400195747223993
4.012350797653198,6.060176372528076,6.674093723297119,0.0073484452441334724,0.9519302785696322,1.048364190523999
4.112339973449707,6.727929592132568,6.801000118255615,0.00020072725601494312,1.0568207090256525,1.0682986004287578
4.212354421615601,7.395572185516357,6.615081787109375,0.0024382048286497593,1.16169376235556,1.0390946172639228
4.312366485595703,8.061076164245605,6.707322597503662,0.005187529139220715,1.2662308828810893,1.0535837698787158
4.412353754043579,8.728672981262207,6.8154706954956055,-0.005308518186211586,1.3710967456760534,1.0705716333862758
4.51240873336792,9.396925926208496,6.5846266746521,0.008085737004876137,1.4760656728052037,1.0343107393859212
4.612343788146973,10.062260627746582,6.731565952301025,-0.001302686519920826,1.580576203331724,1.057391907145204
4.713345527648926,10.73093318939209,6.708424091339111,0.006242474541068077,1.685611043697854,1.0537567921257869
4.813353538513184,11.403106689453125,6.5423102378845215,0.020815512165427208,1.7911958101843284,1.0276636890421653
4.913362979888916,12.068785667419434,6.708174705505371,0.0005142390727996826,1.895760419525734,1.0537176186906274
5.013380289077759,12.736587524414062,6.679812908172607,-0.0003218362107872963,2.0006584899251316,1.049262557983467
5.11339259147644,13.40365982055664,6.516323089599609,0.011723277159035206,2.1054419611738715,1.0235816373351838
5.213393449783325,14.069317817687988,6.6794891357421875,0.001200052909553051,2.2100032748534284,1.0492116999290246
5.313405513763428,14.73680591583252,6.70944881439209,-0.0029064351692795753,2.3148520601279023,1.0539177552465469
5.413411855697632,15.403702735900879,6.552169322967529,0.01433544047176838,2.41960796765936,1.02921235050556
5.513416767120361,16.06926918029785,6.7079243659973145,0.0027189592365175486,2.52415490026903,1.0536782954526567
5.613417148590088,16.736804962158203,6.6552653312683105,-0.0054361699149012566,2.62901117568407,1.0454066336201684
5.713437557220459,17.40460205078125,6.5619587898254395,0.015779342502355576,2.733908497069411,1.0307500763637285
5.81342625617981,17.906248092651367,2.963482618331909,-0.009464367292821407,2.8127068730614893,0.4655027611396285
5.91345477104187,18.01585578918457,0.0009281999082304537,-0.0004964554682374001,2.8299240097717697,0.00014580130063797568
6.014509439468384,18.011863708496094,-0.04022882133722305,0.005068848840892315,2.829296935203597,-0.006319128478779814
6.11450457572937,18.009967803955078,-0.02578774467110634,0.0030960915610194206,2.828999127214699,-0.004050729460569851
6.214528322219849,18.008453369140625,0.021711565554142,0.009279116988182068,2.8287612403503277,0.0034104447421412854
6.3145177364349365,18.007482528686523,0.02091994322836399,0.007832415401935577,2.8286087410884067,0.0032860969979871925
6.414536714553833,18.00677490234375,-0.0030876989476382732,0.005355488043278456,2.82849758740241,-0.0004850146165198667
6.514532089233398,18.006481170654297,-0.004277931991964579,0.004871969111263752,2.828451448136524,-0.0006719759859256336
6.614538908004761,18.006345748901367,-0.0022066652309149504,0.0026972226332873106,2.828430176137317,-0.0003466221639187217
6.714552402496338,18.00623321533203,0.014762024395167828,0.004358996637165546,2.828412499405582,0.002318813369598628
6.814534425735474,18.006196975708008,0.006683732848614454,0.001131016993895173,2.8284068068987516,0.0010498783007881977
6.914552211761475,18.006118774414062,-0.01390223577618599,-0.004214975517243147,2.8283945230682237,-0.002183758089146955
