Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg]
11.532,-0.0,-0.036,-0.043,-0.0,-0.005,31.54,-1.433,-0.0,0.0,0.0,0.0,,,,,,
11.624,-0.0,0.017,-0.031,-0.0,0.002,31.547,-0.93,-0.0,0.0,0.0,0.0,,,,,,
11.718,-0.0,0.008,-0.032,-0.0,0.001,31.536,-1.169,-0.0,0.0,0.0,0.0,,,,,,
11.814,-0.0,-0.01,-0.032,-0.0,-0.001,31.534,-1.455,-0.0,0.0,0.0,0.0,,,,,,
11.947,-0.0,0.024,-0.03,-0.0,0.003,31.584,-1.14,-0.0,0.0,0.0,0.0,,,,,,
12.051,-0.0,-0.035,-0.043,-0.0,-0.004,31.502,-1.462,-0.0,0.0,0.0,0.0,,,,,,
12.153,-0.0,-0.004,-0.032,-0.0,-0.0,31.522,-1.226,-0.0,0.0,0.0,0.0,,,,,,
12.255,-0.0,-0.015,-0.026,-0.0,-0.002,31.531,-1.246,-0.0,0.0,0.0,0.0,,,,,,
12.365,-0.0,-0.024,-0.035,-0.0,-0.003,31.534,-1.341,-0.0,0.0,0.0,0.0,,,,,,
12.467,-0.0,0.027,-0.034,-0.0,0.003,31.552,-1.4,-0.0,0.0,0.0,0.0,,,,,,
12.563,-0.0,0.03,-0.026,-0.0,0.004,31.527,-1.293,-0.0,0.0,0.0,0.0,,,,,,
12.667,-0.0,0.013,-0.033,-0.0,0.002,31.543,-1.574,-0.0,0.0,0.0,0.0,,,,,,
12.772,-0.0,-0.01,-0.035,-0.0,-0.001,31.527,-1.083,48.599,0.0,0.0,14.0,,,,,,
12.874,-0.0,0.003,-0.055,-0.0,0.0,31.483,-2.357,48.599,0.0,0.0,14.0,,,,,,
12.972,0.164,3.952,-0.343,0.021,0.503,31.358,-10.389,48.599,0.0,0.0,14.0,,,,,,
13.073,0.864,9.272,-0.305,0.11,1.18,31.239,-12.001,48.599,0.0,0.0,14.0,,,,,,
13.177,2.025,13.259,-0.355,0.258,1.687,31.068,-14.062,48.599,0.0,0.0,14.0,,,,,,
13.286,3.701,19.006,-0.218,0.471,2.418,31.013,-9.057,48.599,0.0,0.0,14.0,,,,,,
13.39,5.977,22.486,-0.363,0.761,2.861,30.78,-14.535,48.599,0.0,0.0,14.0,,,,,,
13.496,8.654,27.542,-0.321,1.101,3.504,30.688,-8.56,48.599,0.0,0.0,14.0,,,,,,
13.6,11.902,33.987,-0.19,1.514,4.324,30.677,-13.416,48.599,0.0,0.0,14.0,,,,,,
13.703,15.608,35.767,-0.443,1.986,4.551,30.209,-14.677,48.599,0.0,0.0,14.0,,,,,,
13.807,19.72,41.579,-0.383,2.509,5.29,30.14,-9.709,48.599,0.0,0.0,14.0,,,,,,
13.91,24.324,47.833,-0.288,3.095,6.086,30.062,-8.63,48.599,0.0,0.0,14.0,,,,,,
14.013,29.415,52.849,-0.233,3.743,6.724,30.005,-8.641,48.599,0.0,0.0,14.0,,,,,,
14.116,34.98,57.015,-0.218,4.451,7.254,29.848,-13.145,48.599,0.0,0.0,14.0,,,,,,
14.221,41.085,60.172,-0.26,5.227,7.656,29.638,-13.523,48.599,0.0,0.0,14.0,,,,,,
14.322,47.742,65.231,-0.326,6.074,8.3,29.393,-13.708,48.599,0.0,0.0,14.0,,,,,,
14.422,54.621,69.13,-0.243,6.95,8.796,29.398,-14.015,48.599,0.0,0.0,14.0,,,,,,
14.522,61.876,75.766,-0.383,7.873,9.64,29.053,-9.593,48.599,0.0,0.0,14.0,,,,,,
14.624,69.595,78.502,-0.204,8.855,9.988,29.203,-13.807,48.599,0.0,0.0,14.0,,,,,,
14.729,77.835,84.613,-0.404,9.903,10.766,28.689,-9.906,48.599,0.0,0.0,14.0,,,,,,
14.834,86.989,89.404,-0.223,11.068,11.375,28.925,-11.694,48.599,0.0,0.0,14.0,,,,,,
14.935,96.462,94.398,-0.333,12.273,12.011,28.667,-10.002,48.599,0.0,0.0,14.0,,,,,,
15.041,106.131,96.93,-0.22,13.503,12.333,28.372,-17.672,48.599,0.0,0.0,14.0,,,,,,
15.147,116.874,103.739,-0.399,14.87,13.199,28.205,-9.058,48.599,0.0,0.0,14.0,,,,,,
15.25,127.873,106.971,-0.454,16.27,13.61,27.954,-7.89,48.599,0.0,0.0,14.0,,,,,,
15.354,139.022,108.422,-0.156,17.688,13.795,28.708,-12.621,48.599,0.0,0.0,14.0,,,,,,
15.453,150.243,109.565,-0.298,19.116,13.94,28.08,-9.011,48.599,0.0,0.0,14.0,,,,,,
15.552,161.279,111.276,-0.369,20.52,14.158,28.287,-7.708,48.599,0.0,0.0,14.0,,,,,,
15.656,172.422,112.679,-0.195,21.938,14.337,29.331,-4.37,48.599,0.0,0.0,14.0,,,,,,
15.755,183.728,109.224,-0.089,23.377,13.897,29.612,-1.32,48.599,0.0,0.0,14.0,,,,,,
15.853,194.698,107.397,-0.005,24.772,13.665,30.133,-0.835,48.599,0.0,0.0,14.0,,,,,,
15.951,205.407,106.703,0.014,26.135,13.576,31.024,5.439,48.599,0.0,0.0,14.0,,,,,,
16.051,215.768,101.154,0.009,27.453,12.87,31.038,2.61,48.599,28.073,0.0,14.0,-0.62,0.37,3.17,-154.1,-16.8,-76.4
16.15,225.805,98.51,-0.022,28.73,12.534,31.111,2.465,48.599,28.0,0.0,14.0,0.73,0.39,3.12,-175.1,1.3,-74.8
16.25,235.547,95.15,0.093,29.97,12.106,31.287,0.713,48.599,27.96,0.0,14.0,2.01,0.41,3.31,-170.8,-7.5,-75.6
16.35,244.958,93.565,0.059,31.167,11.905,31.337,3.08,48.599,27.96,0.0,14.0,,,,,,
16.448,254.062,89.343,0.099,32.326,11.368,31.351,0.164,48.599,27.96,0.0,14.0,,,,,,
16.548,262.845,86.66,0.007,33.443,11.026,31.232,2.67,48.599,27.96,0.0,14.0,,,,,,
16.647,271.322,83.936,-0.019,34.522,10.68,31.202,1.857,48.599,27.96,0.0,14.0,,,,,,
16.747,279.488,80.499,0.067,35.561,10.242,31.298,1.642,48.599,27.96,0.0,14.0,,,,,,
16.847,287.335,77.748,-0.001,36.559,9.892,31.294,2.414,48.599,27.96,0.0,14.0,,,,,,
16.947,294.872,74.763,0.022,37.518,9.512,31.342,3.233,48.599,27.96,0.0,14.0,,,,,,
17.048,302.169,69.748,0.05,38.446,8.874,31.346,0.537,48.599,27.96,0.0,14.0,,,,,,
17.149,309.146,66.71,0.063,39.334,8.488,31.383,0.966,48.599,27.96,0.0,14.0,,,,,,
17.252,315.734,63.122,-0.02,40.172,8.031,31.312,1.163,48.599,27.96,0.0,14.0,,,,,,
17.355,322.025,62.085,0.1,40.973,7.899,31.474,2.764,48.599,27.96,0.0,14.0,,,,,,
17.451,327.994,59.452,0.095,41.732,7.564,31.513,1.574,48.599,27.96,0.0,14.0,,,,,,
17.551,333.642,53.378,0.008,42.451,6.792,31.367,0.74,48.599,27.96,0.0,14.0,,,,,,
17.657,338.989,53.005,0.11,43.131,6.744,31.481,1.883,48.599,27.96,0.0,14.0,,,,,,
17.752,344.021,49.257,0.08,43.771,6.267,31.508,2.417,48.599,27.96,0.0,14.0,,,,,,
17.851,348.73,45.179,0.047,44.371,5.748,31.422,2.959,48.599,27.96,0.0,14.0,,,,,,
17.951,353.136,41.108,-0.003,44.931,5.23,31.422,1.554,48.599,27.96,0.0,14.0,,,,,,
18.054,357.227,39.326,0.04,45.452,5.004,31.479,2.645,48.599,27.96,0.0,14.0,,,,,,
18.151,361.011,36.471,0.068,45.933,4.64,31.504,0.862,48.599,27.96,0.0,14.0,,,,,,
18.251,364.475,32.898,0.041,46.374,4.186,31.458,0.884,48.599,27.96,0.0,14.0,,,,,,
18.352,367.624,28.921,0.025,46.774,3.68,31.394,0.542,48.599,27.96,0.0,14.0,,,,,,
18.452,370.468,26.856,0.054,47.136,3.417,31.454,1.121,48.599,27.96,0.0,14.0,,,,,,
18.551,373.02,23.085,0.032,47.461,2.937,31.458,1.036,48.599,27.96,0.0,14.0,,,,,,
18.652,375.226,21.076,0.081,47.742,2.682,31.458,4.274,48.599,27.96,0.0,14.0,,,,,,
18.75,377.127,17.208,0.061,47.984,2.189,31.438,0.949,48.599,27.96,0.0,14.0,,,,,,
18.85,378.707,14.208,0.028,48.185,1.808,31.431,2.412,48.599,27.96,0.0,14.0,,,,,,
18.948,379.987,11.13,0.051,48.348,1.416,31.433,1.169,48.599,27.96,0.0,14.0,,,,,,
19.047,380.947,8.17,0.072,48.47,1.04,31.438,3.153,48.599,27.96,0.0,14.0,,,,,,
19.146,381.587,4.662,0.047,48.551,0.593,31.385,2.194,48.599,27.96,0.0,14.0,,,,,,
