Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
4.035,0.724,0.603,199.523,-33.622,0.201,0.568,-0.401,14.84,341.452,79.435,11.318,977.224,1.17344379,-4.26,-5.955,301.052,301.052
4.135,2.381,2.377,245.251,3.43,2.159,0.995,0.142,14.622,341.322,80.508,11.309,977.238,1.17435396,-4.27,-5.561,301.972,301.972
4.235,2.097,2.078,267.578,7.753,2.076,0.088,0.283,14.045,340.98,83.639,11.321,977.205,1.17666936,-4.25,-6.058,301.851,301.851
4.335,1.071,1.037,289.601,14.422,0.977,-0.348,0.267,13.845,340.861,84.665,11.309,977.236,1.17753267,-4.254,-6.224,302.235,302.235
4.435,2.026,2.022,116.401,-3.451,-1.811,0.899,-0.122,14.771,341.41,79.699,11.301,977.225,1.17373383,-4.189,-5.763,301.574,301.574
4.535,2.671,2.669,104.043,-2.252,-2.589,0.648,-0.105,15.106,341.609,78.058,11.313,977.227,1.17236829,-4.276,-5.868,302.818,302.818
4.635,1.322,1.321,108.636,1.998,-1.252,0.422,0.046,14.911,341.495,79.152,11.334,977.232,1.17315865,-4.335,-6.37,301.526,301.526
4.735,1.844,1.839,216.065,-3.956,1.083,1.487,-0.127,14.885,341.479,79.243,11.326,977.23,1.1732651,-4.253,-6.309,302.312,302.312
4.835,2.392,2.389,249.439,3.127,2.236,0.839,0.131,14.661,341.346,80.354,11.317,977.24,1.174196,-4.332,-6.071,302.021,302.021
4.935,1.608,1.601,281.798,5.558,1.567,-0.327,0.156,14.091,341.007,83.324,11.309,977.228,1.17651474,-4.326,-6.381,302.157,302.157
5.034,0.479,0.452,352.01,-19.123,0.063,-0.448,-0.157,14.203,341.074,82.743,11.313,977.22,1.17604399,-4.324,-6.606,302.004,302.004
5.135,2.254,2.254,106.119,-0.563,-2.165,0.626,-0.022,15.078,341.594,78.285,11.329,977.226,1.17247438,-4.223,-6.583,301.609,301.609
5.235,1.332,1.332,103.661,-0.726,-1.294,0.315,-0.017,14.875,341.472,79.253,11.317,977.233,1.17331564,-4.222,-6.578,301.284,301.284
5.335,0.802,0.673,177.187,-32.876,-0.033,0.672,-0.435,14.718,341.379,80.026,11.311,977.218,1.17393792,-4.238,-6.91,302.233,302.233
5.435,2.256,2.256,238.788,0.105,1.929,1.169,0.004,14.628,341.327,80.632,11.337,977.234,1.17431617,-4.145,-7.002,302.839,302.839
5.535,2.068,2.055,266.312,6.495,2.05,0.132,0.234,13.99,340.948,83.962,11.324,977.217,1.1769098,-4.224,-6.944,301.392,301.392
5.635,0.75,0.738,306.277,10.335,0.595,-0.437,0.135,13.857,340.868,84.624,11.313,977.225,1.17746866,-4.179,-7.184,302.501,302.501
5.735,1.959,1.959,112.013,0.0,-1.816,0.734,0.0,14.943,341.512,78.794,11.296,977.222,1.17303133,-4.278,-7.475,302.432,302.432
5.835,2.416,2.413,88.669,-2.677,-2.413,-0.056,-0.113,15.11,341.613,78.143,11.333,977.226,1.17234313,-4.201,-7.515,302.405,302.405
5.935,1.198,1.196,84.983,3.366,-1.191,-0.105,0.07,15.0,341.547,78.62,11.318,977.228,1.17279685,-4.258,-7.443,302.118,302.118
6.035,1.279,1.227,232.321,-16.384,0.971,0.75,-0.361,14.99,341.54,78.623,11.309,977.237,1.17285585,-4.134,-7.575,302.111,302.111
6.135,2.252,2.251,251.571,1.696,2.136,0.712,0.067,14.501,341.252,81.251,11.329,977.239,1.17484081,-4.078,-7.591,302.367,302.367
6.235,1.642,1.633,279.37,5.99,1.611,-0.266,0.171,14.049,340.982,83.551,11.309,977.217,1.17667305,-4.228,-7.444,301.949,301.949
6.335,0.826,0.735,136.498,-27.275,-0.506,0.533,-0.379,14.415,341.2,81.685,11.326,977.227,1.17517972,-4.228,-7.399,301.911,301.911
6.435,2.38,2.38,100.737,-0.347,-2.338,0.443,-0.014,15.225,341.679,77.384,11.298,977.226,1.17188966,-4.103,-7.411,301.627,301.627
6.535,2.148,2.148,88.772,-1.308,-2.147,-0.046,-0.049,15.267,341.706,77.363,11.334,977.234,1.1717149,-4.05,-7.409,300.958,300.958
6.635,0.366,0.359,135.279,-11.689,-0.252,0.255,-0.074,15.106,341.61,78.08,11.317,977.237,1.17237735,-4.075,-7.385,301.952,301.952
6.735,2.156,2.15,233.787,4.178,1.734,1.27,0.157,14.974,341.532,78.763,11.321,977.231,1.17290568,-4.174,-7.324,301.91,301.91
6.835,2.181,2.16,257.784,8.039,2.111,0.457,0.305,14.279,341.12,82.45,11.334,977.223,1.17572737,-4.193,-7.182,302.482,302.482
6.935,0.91,0.898,288.39,9.192,0.852,-0.283,0.145,13.925,340.909,84.251,11.313,977.235,1.17720234,-4.136,-7.127,301.944,301.944
7.035,1.213,1.157,99.979,-17.398,-1.14,0.201,-0.363,14.541,341.275,81.042,11.329,977.218,1.17465186,-4.117,-7.05,302.272,302.272
7.134,2.193,2.193,96.003,-0.655,-2.181,0.229,-0.025,15.092,341.6,78.094,11.306,977.231,1.17243528,-4.117,-6.84,301.778,301.778
7.235,1.307,1.307,98.669,-0.117,-1.292,0.197,-0.003,14.733,341.389,79.999,11.321,977.231,1.17389047,-4.184,-6.629,302.143,302.143
7.335,1.208,1.167,214.164,-14.923,0.655,0.966,-0.311,14.682,341.36,80.411,11.349,977.238,1.17409372,-4.181,-6.646,301.211,301.211
7.435,2.272,2.272,250.019,0.0,2.135,0.776,0.0,14.287,341.125,82.386,11.329,977.235,1.17571247,-4.172,-6.555,301.527,301.527
7.535,1.686,1.682,273.278,3.954,1.679,-0.096,0.116,13.738,340.797,85.257,11.309,977.227,1.17796195,-4.141,-6.273,302.264,302.264
7.634,0.402,0.268,346.889,-48.165,0.061,-0.261,-0.3,13.849,340.864,84.709,11.321,977.24,1.17751575,-4.215,-6.329,301.498,301.498
7.734,2.254,2.254,108.963,-0.806,-2.132,0.733,-0.032,14.874,341.473,79.362,11.337,977.23,1.17330849,-4.263,-6.364,301.649,301.649
7.835,2.002,2.002,93.131,0.0,-1.999,0.109,0.0,14.94,341.513,79.068,11.345,977.228,1.173033,-4.283,-6.256,302.197,302.197
7.935,0.625,0.599,99.75,-16.817,-0.59,0.101,-0.181,14.8,341.43,79.738,11.337,977.224,1.17359924,-4.31,-6.034,301.942,301.942
8.035,2.109,2.109,230.479,-1.333,1.627,1.342,-0.049,14.801,341.429,79.668,11.324,977.23,1.17360973,-4.203,-6.143,302.163,302.163
8.135,2.084,2.078,263.612,4.056,2.065,0.231,0.147,14.285,341.122,82.332,11.317,977.226,1.17571521,-4.227,-6.555,301.891,301.891
8.235,1.442,1.431,292.898,-7.033,1.319,-0.557,-0.177,13.935,340.915,84.259,11.324,977.228,1.17714727,-4.106,-6.433,302.195,302.195
8.334,1.051,1.05,90.105,2.528,-1.05,0.002,0.046,14.63,341.327,80.534,11.321,977.235,1.17431629,-4.257,-6.181,301.798,301.798
8.434,2.181,2.178,95.285,-3.064,-2.169,0.201,-0.117,15.224,341.68,77.532,11.326,977.218,1.17187107,-4.179,-6.346,301.945,301.945
8.535,1.175,1.174,92.624,2.158,-1.173,0.054,0.044,15.211,341.672,77.598,11.326,977.228,1.17193639,-4.284,-6.624,302.2,302.2
8.635,1.296,1.273,216.98,-10.727,0.766,1.017,-0.241,15.078,341.593,78.198,11.313,977.225,1.1724788,-4.283,-6.712,301.939,301.939
8.735,2.176,2.167,246.359,5.217,1.985,0.869,0.198,14.774,341.414,79.894,11.341,977.232,1.17371428,-4.232,-6.714,302.191,302.191
8.835,1.958,1.958,271.488,0.0,1.957,-0.051,0.0,14.169,341.053,82.878,11.304,977.235,1.1762048,-4.276,-6.819,301.956,301.956
8.934,0.591,0.591,315.318,-2.736,0.415,-0.42,-0.028,14.069,340.995,83.603,11.337,977.24,1.17660844,-4.267,-7.064,301.9,301.9
9.035,1.788,1.776,103.046,-6.68,-1.73,0.401,-0.208,15.208,341.671,77.674,11.337,977.232,1.17195141,-4.2,-7.048,302.321,302.321
9.134,1.865,1.864,89.981,-1.767,-1.864,-0.001,-0.058,15.069,341.588,78.312,11.326,977.242,1.17253387,-4.179,-6.902,302.246,302.246
9.235,0.601,0.537,106.539,-26.584,-0.515,0.153,-0.269,14.781,341.418,79.86,11.341,977.24,1.17369592,-4.114,-7.379,302.353,302.353
9.335,2.078,2.071,230.879,-4.637,1.607,1.307,-0.168,14.782,341.42,79.933,11.356,977.223,1.17366529,-4.223,-7.614,301.794,301.794
9.434,2.53,2.52,262.151,5.113,2.496,0.344,0.225,14.286,341.123,82.277,11.308,977.23,1.17571938,-4.229,-7.223,301.577,301.577
9.535,1.504,1.502,275.782,2.679,1.494,-0.151,0.07,13.622,340.73,86.017,11.329,977.229,1.17843211,-4.045,-7.365,301.631,301.631
9.634,1.113,0.725,103.788,-49.345,-0.704,0.173,-0.844,14.258,341.107,82.493,11.321,977.232,1.17583144,-4.23,-7.775,302.058,302.058
9.734,2.121,2.119,98.767,-2.707,-2.094,0.323,-0.1,15.053,341.579,78.474,11.341,977.241,1.17259169,-4.178,-7.58,302.516,302.516
9.835,1.6,1.599,87.998,-2.331,-1.598,-0.056,-0.065,15.076,341.592,78.232,11.317,977.24,1.17250454,-4.172,-7.291,301.434,301.434
9.935,0.784,0.637,235.707,-35.696,0.526,0.359,-0.457,14.928,341.504,79.0,11.321,977.22,1.17308235,-4.309,-7.427,301.67,301.67
10.034,2.45,2.448,249.604,2.567,2.294,0.853,0.11,14.716,341.379,80.105,11.324,977.227,1.17395091,-4.122,-7.789,301.865,301.865
10.134,2.164,2.164,268.784,0.0,2.163,0.046,0.0,14.057,340.988,83.617,11.329,977.233,1.17664981,-4.218,-7.299,302.219,302.219
10.235,0.85,0.634,317.425,41.807,0.429,-0.467,0.567,14.084,341.003,83.423,11.319,977.222,1.17653286,-4.124,-6.915,302.613,302.613
10.334,1.726,1.724,105.463,-2.903,-1.661,0.46,-0.087,15.06,341.583,78.378,11.329,977.221,1.17254412,-4.069,-7.447,302.033,302.033
10.434,2.205,2.203,87.954,-2.313,-2.201,-0.079,-0.089,15.329,341.744,77.13,11.349,977.212,1.17142773,-4.096,-7.684,301.976,301.976
10.535,0.926,0.918,80.663,7.338,-0.906,-0.149,0.118,15.109,341.612,78.154,11.334,977.228,1.17235136,-4.105,-7.085,301.896,301.896
10.634,1.329,1.324,224.458,-4.884,0.927,0.945,-0.113,15.072,341.592,78.498,11.364,977.228,1.17248821,-4.071,-6.699,301.672,301.672
10.734,2.455,2.432,251.427,7.908,2.305,0.775,0.338,14.53,341.269,81.1,11.329,977.228,1.1747098,-4.339,-6.968,301.509,301.509
10.834,1.473,1.447,286.665,10.868,1.386,-0.415,0.278,13.902,340.897,84.534,11.341,977.233,1.17728305,-4.233,-7.329,302.12,302.12
10.934,0.605,0.591,7.209,-12.403,-0.074,-0.586,-0.13,14.295,341.13,82.341,11.329,977.231,1.17567337,-4.224,-6.803,301.065,301.065
11.035,1.908,1.908,97.098,0.247,-1.894,0.236,0.008,15.099,341.606,78.114,11.317,977.218,1.17238259,-4.27,-6.254,301.742,301.742
11.134,1.501,1.5,81.814,-1.584,-1.485,-0.214,-0.041,14.981,341.539,79.006,11.374,977.224,1.17284834,-4.204,-6.622,302.164,302.164
