Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg]
20.962,-0.001,-0.006,0.086,-0.0,-0.001,30.819,3.605,-0.0,0.07,0.0,0.0,-0.07,0.1,4.19,-166.1,2.4,-15.9
21.032,-0.001,0.041,0.096,-0.0,0.005,30.832,3.439,-0.0,0.1,0.0,0.0,-0.1,0.1,4.23,-172.9,4.8,-14.4
21.137,-0.001,0.019,0.082,-0.0,0.002,30.807,3.213,-0.0,0.13,0.0,0.0,-0.13,0.11,4.37,-176.1,10.3,-14.3
21.243,-0.001,0.039,0.097,-0.0,0.005,30.809,3.514,-0.0,0.16,0.0,0.0,-0.16,0.11,4.27,169.0,7.2,-13.9
21.374,-0.001,-0.024,0.09,-0.0,-0.003,30.814,3.711,-0.0,0.2,0.0,0.0,-0.2,0.1,4.28,167.1,9.3,-13.7
21.475,-0.0,-0.014,0.084,-0.0,-0.002,30.825,3.45,-0.0,0.23,0.0,0.0,-0.23,0.1,4.25,169.1,4.7,-12.9
21.564,-0.0,-0.003,0.082,-0.0,-0.0,30.8,3.844,-0.0,0.25,0.0,0.0,-0.25,0.1,4.21,-176.2,2.5,-11.4
21.658,-0.0,0.045,0.102,-0.0,0.006,30.809,3.273,-0.0,0.28,0.0,0.0,-0.28,0.1,4.26,170.4,7.6,-11.3
21.761,-0.0,0.013,0.084,-0.0,0.002,30.789,3.492,-0.0,0.3,0.0,0.0,-0.3,0.09,4.4,-169.2,-13.5,-12.9
21.854,-0.0,0.02,0.097,-0.0,0.003,30.796,3.389,-0.0,0.31,0.0,0.0,-0.31,0.08,4.22,173.0,-2.2,-10.2
21.954,-0.0,-0.036,0.085,-0.0,-0.005,30.798,4.021,-0.0,0.32,0.0,0.0,-0.32,0.08,4.35,-176.3,7.1,-10.6
22.055,-0.0,-0.01,0.083,-0.0,-0.001,30.798,3.583,-0.0,0.31,0.0,0.0,-0.31,0.07,4.22,-171.2,12.1,-9.2
22.154,-0.0,0.009,0.089,-0.0,0.001,30.793,3.312,-0.0,0.31,0.0,0.0,-0.31,0.06,4.24,161.1,8.4,-11.8
22.254,-0.0,0.027,0.093,-0.0,0.003,30.787,3.491,-0.0,0.3,0.0,0.0,-0.3,0.06,4.22,-170.8,9.8,-8.1
22.354,-0.0,-0.024,0.084,-0.0,-0.003,30.798,3.366,-0.0,0.28,0.0,0.0,-0.28,0.05,4.22,-163.1,-13.7,-10.3
