Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
0.14,2.504,2.47,231.474,9.462,1.932,1.538,0.412,-0.141,331.767,45.623,-10.444,967.732,1.23087895,-7.321,-8.01,303.485,303.485
0.24,0.871,0.825,217.219,18.742,0.499,0.657,0.28,-0.698,331.429,47.438,-10.464,967.74,1.23340631,-7.368,-8.439,303.903,303.903
0.337,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.413,-99.44,967.733,13.70404816,-7.454,-9.205,303.923,303.923
0.437,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.407,-99.44,967.753,13.70432758,-7.208,-8.709,303.482,303.482
0.54,0.503,0.411,143.144,-35.041,-0.247,0.329,-0.289,0.052,331.884,44.891,-10.47,967.746,1.23002899,-7.271,-7.848,303.31,303.31
0.64,2.732,2.715,225.156,6.364,1.925,1.915,0.303,-0.158,331.757,45.612,-10.462,967.73,1.23095155,-7.071,-8.361,304.121,304.121
0.74,1.762,1.608,241.87,24.178,1.418,0.758,0.722,-0.956,331.272,48.4,-10.45,967.731,1.2345643,-7.044,-8.643,303.494,303.494
0.84,1.722,1.721,142.711,-2.334,-1.043,1.369,-0.07,-0.344,331.644,46.363,-10.428,967.725,1.23178315,-6.991,-7.57,304.319,304.319
0.937,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.459,-99.44,967.742,13.70416927,-7.927,-6.619,304.026,304.026
1.04,1.196,1.191,123.079,5.02,-0.998,0.65,0.105,0.162,331.952,44.59,-10.454,967.734,1.22951531,-7.25,-6.645,303.728,303.728
1.14,2.263,2.263,214.568,0.067,1.284,1.864,0.003,0.099,331.913,44.852,-10.439,967.738,1.22980583,-6.87,-6.752,303.304,303.304
1.24,2.203,2.06,237.204,20.792,1.731,1.116,0.782,-0.568,331.508,47.083,-10.439,967.745,1.23282087,-7.289,-5.332,303.179,303.179
1.34,1.033,1.018,179.52,10.011,-0.009,1.018,0.18,-0.602,331.487,47.16,-10.45,967.753,1.23298717,-6.929,-4.903,303.879,303.879
1.439,2.616,2.59,125.161,8.039,-2.118,1.492,0.366,0.414,332.105,43.861,-10.432,967.746,1.2283982,-7.05,-5.022,303.911,303.911
1.54,1.873,1.866,105.673,4.946,-1.797,0.504,0.161,0.164,331.953,44.599,-10.45,967.752,1.22953117,-7.153,-4.933,302.96,302.96
1.64,1.431,1.29,211.06,-25.67,0.665,1.105,-0.62,0.188,331.968,44.585,-10.432,967.76,1.22942924,-6.79,-4.68,302.793,302.793
1.74,2.417,2.38,236.104,10.001,1.975,1.327,0.42,-0.154,331.759,45.569,-10.471,967.741,1.23095238,-6.845,-4.172,304.389,304.389
1.84,1.458,1.418,237.612,13.436,1.198,0.76,0.339,-0.888,331.314,48.181,-10.444,967.744,1.23426855,-6.754,-4.842,303.995,303.995
1.939,0.578,0.578,145.32,0.0,-0.329,0.476,0.0,-0.555,331.516,46.979,-10.456,967.737,1.23275733,-6.72,-5.169,303.248,303.248
2.038,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.487,-99.44,967.737,13.70409966,-6.881,-4.531,303.848,303.848
2.141,0.823,0.813,94.972,8.919,-0.81,0.07,0.128,0.04,331.877,45.063,-10.434,967.744,1.23007846,-6.89,-4.413,304.02,304.02
2.241,2.106,2.083,217.394,-8.584,1.265,1.655,-0.314,-0.063,331.815,45.441,-10.423,967.741,1.23053741,-7.178,-4.989,304.25,304.25
2.341,1.816,1.781,236.393,11.262,1.483,0.986,0.355,-0.72,331.415,47.548,-10.456,967.726,1.23348808,-7.031,-5.66,304.233,304.233
2.441,1.019,1.009,149.322,7.931,-0.515,0.868,0.141,-0.567,331.508,47.02,-10.456,967.74,1.23281515,-7.083,-4.861,303.638,303.638
2.54,2.742,2.742,109.883,0.0,-2.578,0.933,0.0,0.285,332.026,44.177,-10.459,967.734,1.2289629,-6.902,-4.443,303.831,303.831
2.641,1.729,1.729,74.168,0.0,-1.664,-0.472,0.0,0.036,331.876,45.08,-10.432,967.75,1.23010063,-6.821,-5.638,303.795,303.795
2.741,0.674,0.667,235.003,-8.681,0.546,0.382,-0.102,0.195,331.972,44.516,-10.445,967.725,1.22935462,-6.987,-6.056,304.16,304.16
2.84,2.147,2.144,228.313,3.199,1.601,1.426,0.12,-0.31,331.665,46.143,-10.456,967.734,1.23164332,-6.835,-5.376,304.186,304.186
2.941,0.826,0.793,200.15,16.111,0.273,0.745,0.229,-0.697,331.43,47.509,-10.445,967.74,1.23339963,-6.954,-4.904,303.682,303.682
3.04,2.481,2.479,114.689,2.577,-2.252,1.035,0.112,0.28,332.024,44.329,-10.421,967.724,1.22897172,-7.173,-5.799,303.973,303.973
3.138,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.459,-99.44,967.747,13.70424175,-7.115,-6.418,303.576,303.576
3.241,0.352,0.088,352.798,-75.565,0.011,-0.087,-0.341,0.186,331.966,44.546,-10.445,967.746,1.22942245,-7.124,-5.595,303.526,303.526
3.341,2.464,2.461,224.368,2.463,1.721,1.76,0.106,-0.016,331.844,45.268,-10.428,967.727,1.23030686,-7.131,-5.501,303.514,303.514
3.44,1.802,1.801,245.248,1.918,1.636,0.754,0.06,-0.693,331.432,47.485,-10.448,967.754,1.2334013,-7.065,-6.505,303.41,303.41
3.54,0.453,0.441,187.783,13.481,0.06,0.437,0.106,-0.596,331.491,47.2,-10.434,967.735,1.23293388,-7.008,-6.78,303.02,303.02
3.638,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.459,-99.44,967.74,13.70413494,-7.101,-5.922,304.464,304.464
3.74,1.015,0.802,77.988,-37.798,-0.785,-0.167,-0.622,0.023,331.868,45.183,-10.415,967.759,1.23016953,-7.017,-6.015,303.305,303.305
3.841,1.66,1.365,237.262,-34.66,1.148,0.738,-0.944,0.118,331.925,44.787,-10.439,967.744,1.22972596,-6.983,-6.682,303.458,303.458
3.94,2.252,2.252,247.741,0.0,2.084,0.853,0.0,-0.582,331.499,47.102,-10.448,967.738,1.23287904,-7.212,-6.661,303.31,303.31
4.04,0.611,0.611,193.892,0.635,0.147,0.593,0.007,-0.786,331.376,47.882,-10.428,967.736,1.2337954,-7.125,-5.877,303.854,303.854
4.14,2.257,2.257,112.666,-1.145,-2.082,0.87,-0.045,0.014,331.862,45.256,-10.404,967.74,1.23018515,-6.961,-6.399,303.428,303.428
4.238,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,31.459,-99.44,967.732,13.70403004,-7.203,-7.169,303.694,303.694
4.341,0.474,0.186,65.849,-66.939,-0.17,-0.076,-0.436,0.069,331.895,44.987,-10.428,967.744,1.22994733,-7.055,-6.882,303.829,303.829
4.44,2.224,2.214,229.379,5.415,1.681,1.441,0.21,-0.266,331.692,46.002,-10.454,967.752,1.23146772,-6.98,-6.228,303.523,303.523
4.541,1.28,1.274,242.118,5.333,1.126,0.596,0.119,-0.914,331.298,48.292,-10.439,967.75,1.23439574,-7.039,-6.799,303.577,303.577
4.641,1.896,1.895,119.369,-1.544,-1.652,0.93,-0.051,-0.057,331.819,45.4,-10.428,967.749,1.23051906,-7.009,-7.285,303.489,303.489
