Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
37.049,-0.002,-0.011,0.064,-0.0,-0.001,31.538,2.621,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
37.19,-0.002,-0.01,0.063,-0.0,-0.001,31.536,2.412,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
37.329,-0.002,-0.021,0.058,-0.0,-0.003,31.538,2.562,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
37.469,-0.002,0.006,0.064,-0.0,0.001,31.529,2.647,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
37.609,-0.002,-0.024,0.052,-0.0,-0.003,31.513,2.441,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
37.751,-0.002,-0.024,0.064,-0.0,-0.003,31.518,2.284,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
37.889,-0.002,-0.052,0.061,-0.0,-0.007,31.545,2.755,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.029,-0.002,0.008,0.066,-0.0,0.001,31.524,2.395,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.169,-0.002,-0.027,0.054,-0.0,-0.003,31.538,2.709,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.309,-0.002,0.023,0.061,-0.0,0.003,31.527,2.913,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.451,-0.002,-0.027,0.06,-0.0,-0.003,31.55,2.28,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.589,-0.002,0.039,0.062,-0.0,0.005,31.55,2.326,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.729,-0.002,0.03,0.062,-0.0,0.004,31.536,2.367,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
38.869,-0.002,-0.011,0.053,-0.0,-0.001,31.538,2.519,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.009,-0.002,0.052,0.057,-0.0,0.007,31.534,2.287,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.149,-0.002,0.026,0.065,-0.0,0.003,31.538,2.162,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.289,-0.002,0.011,0.067,-0.0,0.001,31.534,2.205,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.429,-0.002,-0.015,0.06,-0.0,-0.002,31.536,2.276,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.569,-0.002,0.03,0.063,-0.0,0.004,31.527,2.121,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.71,-0.002,0.011,0.058,-0.0,0.001,31.524,2.384,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.851,-0.001,0.031,0.053,-0.0,0.004,31.534,2.373,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
39.99,-0.002,-0.009,0.05,-0.0,-0.001,31.522,2.517,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.131,-0.001,0.017,0.058,-0.0,0.002,31.538,2.448,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.271,-0.001,0.024,0.06,-0.0,0.003,31.536,2.08,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.41,-0.001,0.01,0.057,-0.0,0.001,31.545,2.056,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.552,-0.001,0.007,0.052,-0.0,0.001,31.563,2.253,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.69,-0.001,-0.058,0.048,-0.0,-0.007,31.543,2.162,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.83,-0.001,0.008,0.052,-0.0,0.001,31.545,2.252,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
40.97,-0.001,0.035,0.055,-0.0,0.004,31.531,2.119,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
41.112,-0.001,0.022,0.058,-0.0,0.003,31.529,2.298,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
41.252,-0.001,0.043,0.058,-0.0,0.005,31.55,2.161,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
41.392,-0.001,0.015,0.052,-0.0,0.002,31.55,2.072,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
41.531,-0.001,-0.023,0.044,-0.0,-0.003,31.552,2.322,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
