frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
105,1.7518,432.000,1625.000,66.000,40.000,1,0.000
106,1.7684,433.000,1625.000,66.000,40.000,1,59.940
107,1.7851,433.000,1625.000,66.000,40.000,1,0.000
108,1.8018,433.000,1625.000,66.000,40.000,1,0.000
109,1.8185,432.000,1625.000,66.000,40.000,1,59.940
110,1.8352,432.000,1625.000,66.000,40.000,1,0.000
111,1.8518,432.000,1625.000,66.000,40.000,1,0.000
112,1.8685,433.000,1625.000,66.000,40.000,1,59.940
113,1.8852,433.000,1625.000,66.000,40.000,1,0.000
114,1.9019,433.000,1625.000,66.000,40.000,1,0.000
115,1.9186,433.000,1625.000,66.000,40.000,1,0.000
116,1.9353,433.000,1625.000,66.000,40.000,1,0.000
117,1.9520,433.000,1625.000,66.000,40.000,1,0.000
118,1.9686,433.000,1625.000,66.000,40.000,1,0.000
119,1.9853,433.000,1625.000,66.000,40.000,1,0.000
120,2.0020,433.000,1625.000,66.000,40.000,1,0.000
121,2.0187,433.000,1625.000,66.000,40.000,1,0.000
122,2.0354,433.000,1624.500,68.000,41.000,1,29.970
123,2.0520,433.000,1625.000,66.000,40.000,1,29.970
124,2.0687,433.000,1625.000,66.000,40.000,1,0.000
125,2.0854,432.000,1625.000,66.000,40.000,1,59.940
126,2.1021,432.500,1624.500,65.000,39.000,1,42.384
127,2.1188,433.000,1625.000,66.000,40.000,1,42.384
128,2.1355,432.500,1624.500,65.000,39.000,1,42.384
129,2.1522,433.000,1626.000,66.000,40.000,1,94.774
130,2.1688,432.500,1624.500,65.000,39.000,1,94.774
131,2.1855,433.000,1626.000,66.000,40.000,1,94.774
132,2.2022,433.000,1625.000,66.000,40.000,1,59.940
133,2.2189,433.000,1625.000,66.000,40.000,1,0.000
134,2.2356,432.500,1624.500,65.000,39.000,1,42.384
135,2.2523,433.000,1625.000,66.000,40.000,1,42.384
136,2.2689,432.500,1624.500,65.000,39.000,1,42.384
137,2.2856,433.000,1626.000,66.000,40.000,1,94.774
138,2.3023,433.000,1624.500,68.000,41.000,1,89.910
139,2.3190,433.000,1625.000,66.000,40.000,1,29.970
140,2.3357,433.000,1625.000,66.000,40.000,1,0.000
141,2.3523,433.000,1624.500,68.000,41.000,1,29.970
142,2.3690,433.000,1625.000,66.000,40.000,1,29.970
143,2.3857,433.000,1625.000,66.000,40.000,1,0.000
144,2.4024,433.000,1625.500,68.000,41.000,1,29.970
145,2.4191,432.000,1625.000,66.000,40.000,1,67.015
146,2.4358,433.000,1624.000,66.000,40.000,1,84.768
147,2.4525,433.000,1625.000,66.000,40.000,1,59.940
148,2.4691,433.000,1625.000,66.000,40.000,1,0.000
149,2.4858,433.000,1625.000,66.000,40.000,1,0.000
150,2.5025,433.500,1624.500,69.000,41.000,1,42.384
151,2.5192,433.000,1625.500,68.000,41.000,1,67.015
