Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg]
10.385,-0.0,0.006,0.009,-0.0,0.001,31.319,0.08,-0.0,0.0,0.0,0.0,,,,,,
10.519,-0.0,0.047,0.004,-0.0,0.006,31.321,0.533,-0.0,0.0,0.0,0.0,,,,,,
10.639,0.0,0.023,0.004,0.0,0.003,31.321,0.183,0.0,0.0,0.0,0.0,,,,,,
10.756,-0.0,0.017,0.008,-0.0,0.002,31.305,0.212,-0.0,0.0,0.0,0.0,,,,,,
10.896,0.0,0.021,0.006,0.0,0.003,31.317,0.673,0.0,0.0,0.0,0.0,,,,,,
11.038,0.0,0.013,0.0,0.0,0.002,31.305,-0.086,0.0,0.0,0.0,0.0,,,,,,
11.176,0.0,-0.014,0.005,0.0,-0.002,31.307,0.233,48.599,0.0,0.0,1.0,,,,,,
11.311,0.0,0.007,-0.003,0.0,0.001,31.298,-0.44,48.599,0.0,0.0,1.0,,,,,,
11.449,0.333,6.041,-0.235,0.042,0.769,31.127,-10.97,48.599,0.0,0.0,1.0,,,,,,
11.589,1.432,8.896,-0.078,0.182,1.132,31.17,-2.067,48.599,0.0,0.0,1.0,,,,,,
11.728,2.614,7.481,-0.019,0.333,0.952,31.289,-1.774,48.599,0.0,0.0,1.0,,,,,,
11.867,3.679,7.633,-0.09,0.468,0.971,31.269,-2.879,48.599,0.0,0.0,1.0,,,,,,
12.004,4.773,7.928,-0.058,0.607,1.009,31.243,-0.827,48.599,0.0,0.0,1.0,,,,,,
12.14,5.853,8.266,-0.013,0.745,1.052,31.269,-0.762,48.599,0.0,0.0,1.0,,,,,,
12.278,6.931,8.184,-0.019,0.882,1.041,31.296,-0.465,48.599,0.0,0.0,1.0,,,,,,
12.417,8.013,7.723,-0.07,1.019,0.983,31.271,-2.76,48.599,0.0,0.0,1.0,,,,,,
12.571,9.101,7.739,-0.068,1.158,0.985,31.255,-1.843,48.599,0.0,0.0,1.0,,,,,,
12.71,10.303,7.77,-0.049,1.311,0.989,31.264,-1.781,48.599,0.0,0.0,1.0,,,,,,
12.852,11.409,7.822,-0.05,1.452,0.995,31.266,-0.578,48.599,0.0,0.0,1.0,,,,,,
12.989,12.507,7.767,-0.054,1.591,0.988,31.282,-1.723,48.599,0.0,0.0,1.0,,,,,,
13.126,13.581,7.414,-0.114,1.728,0.943,31.209,-3.021,48.599,0.0,0.0,1.0,,,,,,
13.261,14.652,7.681,-0.1,1.864,0.977,31.232,-2.997,48.599,0.0,0.0,1.0,,,,,,
13.401,15.71,7.728,-0.056,1.999,0.983,31.239,-2.738,48.599,0.0,0.0,1.0,,,,,,
13.538,16.812,8.31,-0.008,2.139,1.057,31.262,-0.267,48.599,0.0,0.0,1.0,,,,,,
13.675,17.89,8.029,-0.024,2.276,1.022,31.253,-0.571,48.599,0.0,0.0,1.0,,,,,,
13.815,18.966,7.846,-0.05,2.413,0.998,31.273,-1.551,48.599,0.0,0.0,1.0,,,,,,
13.952,20.063,7.719,-0.065,2.553,0.982,31.264,-3.201,48.599,0.0,0.0,1.0,,,,,,
14.088,21.136,7.596,-0.073,2.689,0.966,31.221,-3.095,48.599,0.0,0.0,1.0,,,,,,
14.226,22.202,7.914,-0.062,2.825,1.007,31.243,-1.891,48.599,0.0,0.0,1.0,,,,,,
14.37,23.285,8.011,-0.018,2.963,1.019,31.255,-2.473,48.599,0.0,0.0,1.0,,,,,,
14.507,24.414,7.845,-0.048,3.106,0.998,31.243,-1.161,48.599,0.0,0.0,1.0,,,,,,
14.643,25.491,7.828,-0.076,3.243,0.996,31.248,-3.251,48.599,0.0,0.0,1.0,,,,,,
14.783,26.555,7.514,-0.088,3.379,0.956,31.237,-2.454,48.599,0.0,0.0,1.0,,,,,,
14.922,27.651,7.699,-0.093,3.518,0.98,31.223,-2.951,48.599,0.0,0.0,1.0,,,,,,
15.057,28.741,7.735,-0.07,3.657,0.984,31.25,-1.363,48.599,0.0,0.0,1.0,,,,,,
15.193,29.801,8.111,-0.018,3.792,1.032,31.246,-0.152,48.599,0.0,0.0,1.0,,,,,,
15.329,30.873,8.303,-0.006,3.928,1.056,31.273,-1.185,48.599,0.0,0.0,1.0,,,,,,
15.469,31.943,7.886,-0.057,4.064,1.003,31.262,-1.744,48.599,0.0,0.0,1.0,,,,,,
15.606,33.039,7.69,-0.081,4.204,0.978,31.243,-3.207,48.599,0.0,0.0,1.0,,,,,,
15.742,34.113,7.722,-0.066,4.34,0.982,31.266,-3.523,48.599,0.0,0.0,1.0,,,,,,
15.882,35.178,7.835,-0.074,4.476,0.997,31.253,-1.946,48.599,0.0,0.0,1.0,,,,,,
16.022,36.277,7.813,-0.056,4.616,0.994,31.25,-2.518,48.599,0.0,0.0,1.0,,,,,,
16.159,37.367,7.748,-0.086,4.754,0.986,31.241,-2.172,48.599,0.0,0.0,1.0,,,,,,
16.301,38.45,7.902,-0.022,4.892,1.005,31.237,-2.145,48.599,0.0,0.0,1.0,,,,,,
16.436,39.563,7.661,-0.078,5.034,0.975,31.227,-4.036,48.599,0.0,0.0,1.0,,,,,,
16.571,40.62,7.616,-0.071,5.168,0.969,31.246,-4.222,48.599,0.0,0.0,1.0,,,,,,
16.703,41.67,7.632,-0.064,5.302,0.971,31.205,-3.184,48.599,0.0,0.0,1.0,,,,,,
16.838,42.712,7.737,-0.066,5.435,0.984,31.216,-2.984,48.599,0.0,0.0,1.0,,,,,,
16.972,43.763,8.031,-0.031,5.568,1.022,31.239,-0.754,48.599,0.0,0.0,1.0,,,,,,
17.108,44.825,8.324,-0.003,5.703,1.059,31.271,-0.82,48.599,0.0,0.0,1.0,,,,,,
17.247,45.895,8.101,-0.025,5.839,1.031,31.262,-1.726,48.599,0.0,0.0,1.0,,,,,,
17.384,46.987,7.877,-0.071,5.978,1.002,31.253,-2.67,48.599,0.0,0.0,1.0,,,,,,
17.519,48.06,7.706,-0.074,6.115,0.98,31.223,-2.894,48.599,0.0,0.0,1.0,,,,,,
17.655,49.119,7.833,-0.047,6.25,0.997,31.25,-3.436,48.599,0.0,0.0,1.0,,,,,,
17.793,50.185,7.743,-0.069,6.385,0.985,31.223,-3.343,48.599,0.0,0.0,1.0,,,,,,
17.934,51.267,7.832,-0.065,6.523,0.997,31.218,-1.174,48.599,0.0,0.0,1.0,,,,,,
18.071,52.373,7.854,-0.07,6.664,0.999,31.179,-3.271,48.599,0.0,0.0,1.0,,,,,,
18.207,53.449,7.902,-0.034,6.801,1.005,31.234,-2.227,48.599,0.0,0.0,1.0,,,,,,
18.342,54.515,7.792,-0.092,6.936,0.991,31.227,-3.814,48.599,0.0,0.0,1.0,,,,,,
18.473,55.58,7.503,-0.13,7.072,0.955,31.218,-3.072,48.599,0.0,0.0,1.0,,,,,,
18.612,56.599,7.581,-0.086,7.201,0.965,31.166,-3.714,48.599,0.0,0.0,1.0,,,,,,
18.738,57.687,7.551,-0.085,7.34,0.961,31.216,-3.57,48.599,0.0,0.0,1.0,,,,,,
18.87,58.675,7.735,-0.086,7.465,0.984,31.23,-2.606,48.599,0.0,0.0,1.0,,,,,,
19.004,59.71,7.731,-0.078,7.597,0.984,31.223,-3.842,48.599,0.0,0.0,1.0,,,,,,
19.137,60.769,8.001,-0.07,7.732,1.018,31.243,-0.549,48.599,0.0,0.0,1.0,,,,,,
19.273,61.815,8.42,-0.019,7.865,1.071,31.253,-0.707,48.599,0.0,0.0,1.0,,,,,,
