Timestamp,S,S2,D,DV,U,V,W,T,C,H,DP,P,AD,PI,RO,MD,TD
5.703978061676025,2.276,1.584,355.487,-45.889,0.125,-1.579,-1.634,20.98,344.77,35.74,11.67,973.8,1.1469393,-1.4,1.9,41.0,41.0
5.853990316390991,1.569,0.624,359.379,-66.585,0.007,-0.624,-1.44,20.8,344.66,35.72,11.67,973.79,1.1476847,-1.4,1.9,43.0,43.0
6.004154443740845,0.611,0.574,40.259,-20.191,-0.371,-0.438,-0.211,20.43,344.43,35.74,11.68,973.78,1.1491925,-1.4,1.9,43.0,43.0
6.154215574264526,0.225,0.202,44.839,-26.057,-0.142,-0.143,-0.099,20.34,344.37,35.75,11.7,973.77,1.1495744,-1.4,2.0,41.0,41.0
6.304297685623169,0.096,0.085,75.355,-28.255,-0.082,-0.021,-0.045,20.35,344.38,35.74,11.68,973.77,1.1495029,-1.4,1.9,43.0,43.0
6.454373359680176,0.082,0.075,112.352,-23.651,-0.069,0.028,-0.033,20.39,344.41,35.77,11.71,973.78,1.1493381,-1.4,1.9,42.0,42.0
6.604368448257446,0.087,0.078,162.515,-27.208,-0.023,0.074,-0.04,20.37,344.39,35.77,11.68,973.77,1.1494277,-1.4,2.0,42.0,42.0
6.754531145095825,0.1,0.094,167.071,-19.148,-0.021,0.092,-0.033,20.32,344.36,35.78,11.71,973.78,1.1496346,-1.4,1.9,43.0,43.0
6.904595851898193,0.086,0.08,158.097,-21.234,-0.03,0.074,-0.031,20.31,344.35,35.79,11.71,973.77,1.1496755,-1.4,1.9,42.0,42.0
7.054697513580322,0.084,0.071,177.583,-32.164,-0.003,0.071,-0.044,20.32,344.36,35.79,11.72,973.77,1.1496555,-1.8,2.0,42.0,42.0
